Name,Company,Built,Capacity,Crew,EnrouteDuration,OriginPort,OriginCountry,DestinationPort,DestinationCountry
Quos Temporibus,Grimaldi Group,2015,9100,New Caledonia,117,Jawarharlal Nehru Port (Nhava Sheva),India,Marsaxlokk,Malta
Est Aspernatur,Shandong International Transportation Corporation,1966,9200,Dominica,56,Ho Chi Minh City,Vietnam,Barcelona,Spain
Qui Esse,Mediterranean Shipping Company,2002,15100,United Arab Emirates,115,Ningbo-Zhoushan,China,Kaohsiung,Taiwan
Fugit Nostrum,Korea Marine Transport Company [de],2017,15700,Jersey,22,Shanghai,China,Singapore,Singapore
Hic Ut,COSCO Shipping,1950,11500,Bolivia,43,Busan,South Korea,Guangzhou Harbor,China
Eveniet Placeat,Antong Holdings (QASC),1952,7000,Cameroon,88,Jawarharlal Nehru Port (Nhava Sheva),India,Los Angeles,U.S.A.
Non Totam,COSCO Shipping,1984,7100,San Marino,67,Xiamen,China,Hanshin Port,Japan
Dolore Voluptatum,Wan Hai Lines,1992,11800,Antigua and Barbuda,100,Long Beach,U.S.A.,Tianjin,China
Maiores Et,Maersk,1998,9200,Peru,83,Guangzhou Harbor,China,Antwerp,Belgium
Doloremque Enim,CMA CGM,2006,11600,Morocco,89,Shanghai,China,Tokyo,Japan
Nulla Non,Hyundai Merchant Marine,1956,4100,Mexico,112,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Shenzhen,China
Impedit Et,X-Press Feeders,1986,9800,Iran,70,Yingkou,China,Hamburg,Germany
Molestias Saepe,Hapag-Lloyd,1962,2500,Cocos (Keeling) Islands,50,Xiamen,China,Long Beach,U.S.A.
Perferendis Et,Hyundai Merchant Marine,1955,10200,Japan,54,Shanghai,China,Port Klang,Malaysia
Provident Quae,Mediterranean Shipping Company,2012,9600,Finland,50,Keihin Ports,Japan,Hong Kong,China
Totam Sed,COSCO Shipping,2016,6900,Kazakhstan,97,Shanghai,China,Jebel Ali,United Arab Emirates
Rerum Commodi,Hapag-Lloyd,2021,2100,Saint Kitts and Nevis,56,Ningbo-Zhoushan,China,Long Beach,U.S.A.
Debitis Nihil,COSCO Shipping,1996,4700,"Virgin Islands, British",106,Mundra,India,Tanjung Priok,Indonesia
Esse Sed,Shandong International Transportation Corporation,1997,4500,Slovakia (Slovak Republic),40,Singapore,Singapore,Tanger Med,Morocco
Pariatur Vitae,COSCO Shipping,1973,9600,Lesotho,20,Tianjin,China,Busan,South Korea
Pariatur Non,COSCO Shipping,1975,3900,Angola,86,Jebel Ali,United Arab Emirates,Kaohsiung,Taiwan
Reprehenderit Nisi,Maersk,1965,6000,Rwanda,109,Guangzhou Harbor,China,Los Angeles,U.S.A.
Voluptatum Ad,Unifeeder,2018,17400,Burundi,85,Busan,South Korea,Laem Chabang,Thailand
Nostrum Sunt,SM Line,2009,6500,Cuba,94,Ningbo-Zhoushan,China,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Vitae Corporis,CMA CGM,2004,6700,Libyan Arab Jamahiriya,112,Lianyunguang,China,Singapore,Singapore
Neque Ut,Evergreen Marine,2011,9300,Belize,59,New York-New Jersey,U.S.A.,Algeciras,Spain
Qui Dicta,Hyundai Merchant Marine,1960,3600,Netherlands,43,Busan,South Korea,Hong Kong,China
Laboriosam Aut,Maersk,1983,3600,Chad,32,Bremen/Bremerhaven,Germany,Qingdao,China
Alias Quae,Wan Hai Lines,2017,4100,Vietnam,69,Singapore,Singapore,Keihin Ports,Japan
Magni Repellendus,CMA CGM,1969,8000,Guyana,85,Bremen/Bremerhaven,Germany,Jeddah,Saudi Arabia
Tempora Dolor,Antong Holdings (QASC),1982,17200,Azerbaijan,68,Port Klang,Malaysia,Xiamen,China
Quidem Et,Antong Holdings (QASC),2000,16700,Ukraine,27,Singapore,Singapore,Kaohsiung,Taiwan
Nesciunt Ea,Maersk,2015,15400,Cuba,93,Shenzhen,China,Kaohsiung,Taiwan
Nulla Rerum,Arkas Container Transport,1980,2600,Philippines,60,Hamburg,Germany,Santos,Brazil
Soluta Itaque,CMA CGM,2007,8100,Norway,29,Fuzhou,China,Jebel Ali,United Arab Emirates
Quidem Suscipit,Mediterranean Shipping Company,1990,11200,Turkmenistan,86,Shenzhen,China,Singapore,Singapore
Aliquid Commodi,Maersk,2012,4400,Uruguay,53,Tianjin,China,Tokyo,Japan
Odio Minima,CMA CGM,1979,9700,Guinea,112,Tianjin,China,Hamburg,Germany
Tempore Quidem,CMA CGM,1958,12400,France,37,Shanghai,China,Los Angeles,U.S.A.
Recusandae Voluptas,Unifeeder,2014,5800,Guinea,32,Tanjung Pelepas,Malaysia,Hong Kong,China
Doloribus Nulla,Antong Holdings (QASC),1980,17400,Andorra,73,Shanghai,China,Tanger Med,Morocco
Pariatur Amet,CMA CGM,2007,1500,Guernsey,58,Xiamen,China,Busan,South Korea
Voluptate Maxime,Mediterranean Shipping Company,1995,16300,Trinidad and Tobago,79,Kaohsiung,Taiwan,Shanghai,China
Explicabo Itaque,Ocean Network Express,2001,6800,Poland,49,Tanjung Priok,Indonesia,Qingdao,China
Pariatur Sapiente,Hapag-Lloyd,2006,15900,Saint Martin,28,Kaohsiung,Taiwan,Singapore,Singapore
Ipsam Non,CMA CGM,1972,11600,Australia,112,Shanghai,China,Santos,Brazil
Debitis Totam,Evergreen Marine,1972,3800,Taiwan,68,Shanghai,China,Colon,Panama
Quibusdam Non,Maersk,1976,15100,Papua New Guinea,93,Laem Chabang,Thailand,Singapore,Singapore
Dolorum A,Maersk,1965,7000,Saudi Arabia,71,Guangzhou Harbor,China,Port Klang,Malaysia
Voluptate Ut,Evergreen Marine,2013,9700,Turkey,86,Ningbo-Zhoushan,China,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Fugiat Error,Evergreen Marine,1954,7400,Seychelles,53,Jebel Ali,United Arab Emirates,Shanghai,China
Velit Omnis,Zim Integrated Shipping Services,1977,12000,Tunisia,103,Shanghai,China,Felixstowe,U.K.
Deleniti Tempora,X-Press Feeders,1977,3800,Philippines,33,Shanghai,China,Bremen/Bremerhaven,Germany
Enim Quisquam,Mediterranean Shipping Company,2013,6000,Benin,91,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Antwerp,Belgium
Autem Et,CMA CGM,1958,5300,Ukraine,102,Fuzhou,China,Tanger Med,Morocco
Debitis Veritatis,Evergreen Marine,1967,4300,Maldives,27,Colombo,Sri Lanka,Hamburg,Germany
Quis Corrupti,CMA CGM,1971,9500,Philippines,51,Ningbo-Zhoushan,China,Salalah,Oman
Voluptates Voluptas,COSCO Shipping,1975,3200,Seychelles,76,Shanghai,China,Colombo,Sri Lanka
Quaerat Repudiandae,Hapag-Lloyd,2016,6400,Bosnia and Herzegovina,28,Rotterdam,The Netherlands,Kaohsiung,Taiwan
Sapiente Rerum,Mediterranean Shipping Company,1950,11900,Faroe Islands,91,Hong Kong,China,Long Beach,U.S.A.
Quis Deserunt,Unifeeder,2010,6400,Democratic People's Republic of Korea,43,Rizhao,China,Ho Chi Minh City,Vietnam
Autem Rerum,Maersk,2008,9200,Venezuela,33,Shanghai,China,Tanjung Pelepas,Malaysia
Id Fuga,CMA CGM,1965,13200,United States of America,46,Ho Chi Minh City,Vietnam,Algeciras,Spain
Nesciunt Laudantium,IRISL Group,2017,8300,Slovakia (Slovak Republic),32,Tianjin,China,Savannah,U.S.A.
Et Quaerat,Salam Pacific Indonesia Lines,1993,10500,Montserrat,107,Los Angeles,U.S.A.,Tianjin,China
Ea Blanditiis,IRISL Group,1993,6000,Netherlands,50,Los Angeles,U.S.A.,Hong Kong,China
Excepturi Necessitatibus,Maersk,1994,8400,Portugal,53,Colon,Panama,Long Beach,U.S.A.
Sed Dicta,COSCO Shipping,2002,14300,Martinique,108,Antwerp,Belgium,Singapore,Singapore
Ullam Pariatur,CMA CGM,1991,10500,Honduras,49,Dalian,China,Vancouver,Canada
Eos Modi,Ocean Network Express,2016,5300,Panama,102,Hanshin Port,Japan,Tanjung Priok,Indonesia
Quis Ullam,CMA CGM,1964,11400,Bolivia,36,Barcelona,Spain,Shanghai,China
Velit Maxime,Zim Integrated Shipping Services,2012,5500,Oman,86,Shenzhen,China,Singapore,Singapore
Quam Recusandae,Maersk,1957,17900,Rwanda,90,Barcelona,Spain,Yingkou,China
Dicta Quaerat,COSCO Shipping,1992,6300,Taiwan,96,Shanghai,China,Hamburg,Germany
Ratione Eius,Zhonggu Logistics,2018,16400,Gabon,120,Xiamen,China,Hanshin Port,Japan
Vero Beatae,COSCO Shipping,2015,9500,Canada,67,Jebel Ali,United Arab Emirates,Rotterdam,The Netherlands
Quia Sint,Wan Hai Lines,1970,10600,Sierra Leone,106,Tanjung Pelepas,Malaysia,Tianjin,China
Voluptatem Labore,COSCO Shipping,2010,3300,China,65,Santos,Brazil,Ningbo-Zhoushan,China
Fugiat Veniam,Hapag-Lloyd,1979,15700,Madagascar,74,Xiamen,China,Jawarharlal Nehru Port (Nhava Sheva),India
Omnis Facilis,COSCO Shipping,1985,4200,Cayman Islands,107,Singapore,Singapore,Hanshin Port,Japan
Commodi Reiciendis,Korea Marine Transport Company [de],1953,4400,Germany,86,Laem Chabang,Thailand,Keihin Ports,Japan
Doloribus Reprehenderit,Wan Hai Lines,1983,6600,Bosnia and Herzegovina,34,Jebel Ali,United Arab Emirates,Busan,South Korea
Sequi Laboriosam,Mediterranean Shipping Company,1989,7000,Palestinian Territory,47,Colombo,Sri Lanka,Dalian,China
Eligendi Vel,COSCO Shipping,1973,17700,Kiribati,30,Shanghai,China,Los Angeles,U.S.A.
Non Nulla,Yang Ming Marine Transport Corporation,1971,9000,Samoa,69,Laem Chabang,Thailand,Singapore,Singapore
Dolorem Ipsam,Pacific International Lines,1969,3300,Kazakhstan,97,Singapore,Singapore,Bremen/Bremerhaven,Germany
Optio Eos,COSCO Shipping,1986,1100,Sri Lanka,23,Shenzhen,China,Long Beach,U.S.A.
Doloribus Ex,IRISL Group,1977,8200,Austria,88,Singapore,Singapore,Ningbo-Zhoushan,China
Perspiciatis Delectus,Ocean Network Express,2010,5400,Rwanda,98,Antwerp,Belgium,Guangzhou Harbor,China
Quia Alias,Maersk,2013,13300,Malawi,98,Yingkou,China,Tokyo,Japan
Nesciunt Minima,Maersk,1994,9200,Ecuador,99,New York-New Jersey,U.S.A.,Dongguan,China
Perferendis Minus,Mediterranean Shipping Company,1953,14100,Malaysia,52,Colombo,Sri Lanka,Tokyo,Japan
Laudantium Consequatur,CMA CGM,1954,12400,Puerto Rico,112,Shanghai,China,Tanger Med,Morocco
Animi Blanditiis,Maersk,1996,3800,Anguilla,72,Ningbo-Zhoushan,China,Port Klang,Malaysia
Unde Sed,Mediterranean Shipping Company,1969,2900,Uruguay,74,Ho Chi Minh City,Vietnam,Busan,South Korea
Accusantium Ullam,Mediterranean Shipping Company,1986,2500,Georgia,62,Ningbo-Zhoushan,China,Singapore,Singapore
Animi Qui,Zhonggu Logistics,1998,2300,Suriname,31,Port Klang,Malaysia,Ningbo-Zhoushan,China
Aliquam Sunt,Maersk,1972,6300,Martinique,41,Tanjung Pelepas,Malaysia,Shenzhen,China
Est Illo,Mediterranean Shipping Company,1962,12600,Cayman Islands,24,Qingdao,China,Colombo,Sri Lanka
Facere Dolor,CMA CGM,1968,16600,Anguilla,26,Tianjin,China,Jeddah,Saudi Arabia
Qui Temporibus,Hapag-Lloyd,1980,2200,Afghanistan,52,Hong Kong,China,Colon,Panama
Reprehenderit Quaerat,Mediterranean Shipping Company,2005,17400,Guam,110,Tanjung Pelepas,Malaysia,Tanjung Priok,Indonesia
Nam Tempora,Hapag-Lloyd,1998,11700,Puerto Rico,37,Busan,South Korea,Qingdao,China
Omnis Voluptate,Maersk,1955,7500,Cocos (Keeling) Islands,70,Yingkou,China,Mundra,India
Rerum Cumque,CMA CGM,1993,16200,Serbia,34,Yingkou,China,Colombo,Sri Lanka
Voluptatum Non,COSCO Shipping,1992,12000,Guyana,113,Singapore,Singapore,Jeddah,Saudi Arabia
Itaque Similique,Zhonggu Logistics,1967,14200,Bangladesh,85,Singapore,Singapore,Port Klang,Malaysia
Nihil Esse,Maersk,1966,11700,Cape Verde,88,Shenzhen,China,Santos,Brazil
Quo Harum,Hyundai Merchant Marine,2005,14300,Costa Rica,63,Los Angeles,U.S.A.,Shanghai,China
Hic Voluptas,Mediterranean Shipping Company,2016,8100,Seychelles,119,Algeciras,Spain,Ningbo-Zhoushan,China
Nisi Veniam,Wan Hai Lines,1988,2700,Serbia,100,Hong Kong,China,Rotterdam,The Netherlands
Modi Ut,Hapag-Lloyd,2005,17100,American Samoa,39,Kaohsiung,Taiwan,Tianjin,China
Quod Voluptatem,CMA CGM,2006,11100,Iceland,75,Jeddah,Saudi Arabia,Port Klang,Malaysia
Eos Eligendi,Maersk,2006,3800,Ethiopia,76,Laem Chabang,Thailand,Marsaxlokk,Malta
Aut Nesciunt,Maersk,1962,11100,Djibouti,105,Shanghai,China,Hamburg,Germany
Minus Et,Unifeeder,1957,7700,Guernsey,110,Los Angeles,U.S.A.,Guangzhou Harbor,China
Odio Omnis,Mediterranean Shipping Company,1972,13600,Cote d'Ivoire,106,Guangzhou Harbor,China,Jeddah,Saudi Arabia
Magni Aut,Hapag-Lloyd,1991,8400,San Marino,29,Colombo,Sri Lanka,Shanghai,China
Velit Recusandae,Evergreen Marine,1984,10700,"Virgin Islands, U.S.",31,Antwerp,Belgium,Dalian,China
Consequuntur Dolore,X-Press Feeders,1965,5300,Sao Tome and Principe,30,Tanjung Pelepas,Malaysia,Shanghai,China
Repudiandae Delectus,COSCO Shipping,1973,6500,Nicaragua,86,Rotterdam,The Netherlands,Singapore,Singapore
Perspiciatis Exercitationem,X-Press Feeders,1973,2100,Malta,49,Busan,South Korea,New York-New Jersey,U.S.A.
Dolor Officiis,Ocean Network Express,1956,12300,Iran,83,Shanghai,China,Felixstowe,U.K.
Ipsa Inventore,Mediterranean Shipping Company,1955,6400,Pakistan,28,Shanghai,China,Antwerp,Belgium
Nam Reiciendis,Ocean Network Express,1966,3500,Myanmar,101,Shanghai,China,Long Beach,U.S.A.
Sit Voluptatum,Swire,2007,10200,Chile,59,Vancouver,Canada,Marsaxlokk,Malta
Neque Magnam,COSCO Shipping,1970,13700,Antigua and Barbuda,21,Busan,South Korea,Ningbo-Zhoushan,China
Aut Provident,Korea Marine Transport Company [de],1980,9500,Mexico,64,Kaohsiung,Taiwan,Tanjung Pelepas,Malaysia
Maiores Repellat,CMA CGM,2016,11900,Cayman Islands,102,Rotterdam,The Netherlands,Laem Chabang,Thailand
Cumque Quo,Evergreen Marine,2001,3300,Honduras,59,Long Beach,U.S.A.,Shanghai,China
Officia Unde,CMA CGM,1985,1300,Panama,32,Laem Chabang,Thailand,Singapore,Singapore
Expedita Natus,Wan Hai Lines,1951,9700,Botswana,94,Kaohsiung,Taiwan,Salalah,Oman
Pariatur Quaerat,COSCO Shipping,1964,6300,Mexico,88,Xiamen,China,Hamburg,Germany
Totam Dolore,COSCO Shipping,2001,5600,Chad,25,Kaohsiung,Taiwan,Santos,Brazil
Pariatur Aperiam,Mediterranean Shipping Company,1977,4900,Tunisia,64,Tianjin,China,Manila,Philippines
Est Officia,Evergreen Marine,2018,5700,Croatia,41,Tianjin,China,Felixstowe,U.K.
Velit Libero,Hapag-Lloyd,1994,10700,Bosnia and Herzegovina,68,Tanjung Pelepas,Malaysia,Jebel Ali,United Arab Emirates
Deleniti Harum,Evergreen Marine,1998,3900,Bouvet Island (Bouvetoya),73,Shanghai,China,Santos,Brazil
Quaerat Praesentium,Mediterranean Shipping Company,1977,8000,Micronesia,55,Guangzhou Harbor,China,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Animi Non,Maersk,2020,1100,Uganda,75,Hong Kong,China,Los Angeles,U.S.A.
Error Id,Zim Integrated Shipping Services,1999,12900,Liechtenstein,21,Busan,South Korea,Felixstowe,U.K.
Aut Culpa,Sinokor Merchant Marine,1976,7000,Mauritius,88,Rotterdam,The Netherlands,Guangzhou Harbor,China
Non Ratione,Hapag-Lloyd,1964,7700,Cyprus,36,Kaohsiung,Taiwan,Qingdao,China
Non Illum,Maersk,2015,1400,"Virgin Islands, U.S.",30,Xiamen,China,Kaohsiung,Taiwan
Sed Magnam,Maersk,1964,6500,Taiwan,43,Tianjin,China,Rotterdam,The Netherlands
Qui Quaerat,Maersk,1959,11800,Brunei Darussalam,30,Hamburg,Germany,Jeddah,Saudi Arabia
Eos Explicabo,CMA CGM,1982,9300,Haiti,35,Tanjung Pelepas,Malaysia,Hong Kong,China
Ducimus Eum,COSCO Shipping,1977,15100,Central African Republic,120,Qingdao,China,Singapore,Singapore
Adipisci Iure,COSCO Shipping,1973,7900,Mauritius,67,Busan,South Korea,Guangzhou Harbor,China
Illum Occaecati,COSCO Shipping,2005,12600,Aruba,99,Algeciras,Spain,Tianjin,China
Facere Doloremque,X-Press Feeders,2014,8400,France,74,Los Angeles,U.S.A.,Dalian,China
Sit Ea,COSCO Shipping,1966,2400,Namibia,119,Dongguan,China,Busan,South Korea
Voluptate Tenetur,Ocean Network Express,1969,2700,Nigeria,109,Ningbo-Zhoushan,China,Algeciras,Spain
Voluptates Saepe,Hyundai Merchant Marine,2012,6200,Svalbard & Jan Mayen Islands,110,Jebel Ali,United Arab Emirates,Savannah,U.S.A.
Nulla Error,Shandong International Transportation Corporation,1980,11300,Suriname,45,Guangzhou Harbor,China,Barcelona,Spain
Libero In,COSCO Shipping,2017,6800,Panama,27,Busan,South Korea,Singapore,Singapore
Accusantium Voluptatem,Shandong International Transportation Corporation,1977,5500,Bulgaria,92,Jebel Ali,United Arab Emirates,Busan,South Korea
Odio Necessitatibus,COSCO Shipping,1982,4400,Central African Republic,70,Savannah,U.S.A.,Singapore,Singapore
Maiores Repellendus,Mediterranean Shipping Company,1992,9300,Turkey,51,Hong Kong,China,Rotterdam,The Netherlands
Voluptas Impedit,Wan Hai Lines,1965,1900,Netherlands Antilles,90,Kaohsiung,Taiwan,Shanghai,China
Sunt Ut,CMA CGM,2021,4800,Mozambique,55,Busan,South Korea,Rotterdam,The Netherlands
Est Mollitia,Ocean Network Express,1961,13900,Latvia,109,Bremen/Bremerhaven,Germany,Kaohsiung,Taiwan
Eos Velit,Swire,2004,4000,Montserrat,62,Shenzhen,China,Jebel Ali,United Arab Emirates
Molestias Magnam,CMA CGM,1959,9300,Saudi Arabia,64,Shanghai,China,Singapore,Singapore
Dolore Nesciunt,Maersk,2007,15600,Bosnia and Herzegovina,36,Manila,Philippines,Guangzhou Harbor,China
Labore Sed,Mediterranean Shipping Company,1983,9300,Liechtenstein,111,Felixstowe,U.K.,Rotterdam,The Netherlands
Recusandae Deserunt,COSCO Shipping,1993,8100,Hungary,98,Los Angeles,U.S.A.,Hong Kong,China
Dolor Molestiae,Evergreen Marine,1966,10300,Malta,28,Rotterdam,The Netherlands,Fuzhou,China
Velit Ipsam,Maersk,1950,12300,Reunion,27,Guangzhou Harbor,China,Tanger Med,Morocco
Ea Quis,Swire,1984,3700,Guinea-Bissau,55,Xiamen,China,Hanshin Port,Japan
Doloremque Rerum,Shandong International Transportation Corporation,2014,2600,Panama,72,Shanghai,China,Los Angeles,U.S.A.
Voluptate Omnis,Ocean Network Express,1960,5100,Costa Rica,52,Singapore,Singapore,Port Klang,Malaysia
Quo Vel,Evergreen Marine,1964,7400,Heard Island and McDonald Islands,109,Singapore,Singapore,Tianjin,China
Voluptatum Repudiandae,CMA CGM,1959,16000,Guadeloupe,83,Shenzhen,China,Port Klang,Malaysia
Nam Neque,Wan Hai Lines,1971,7000,French Southern Territories,68,Xiamen,China,Singapore,Singapore
Quod Fugit,Maersk,1956,10700,Myanmar,64,New York-New Jersey,U.S.A.,Ningbo-Zhoushan,China
Dolores Unde,Evergreen Marine,2004,14500,Austria,29,Bremen/Bremerhaven,Germany,Singapore,Singapore
Provident Vel,Mediterranean Shipping Company,1966,4500,Guadeloupe,69,Nanjing,China,Port Klang,Malaysia
Iusto Quaerat,Maersk,2021,2300,Somalia,34,Ningbo-Zhoushan,China,Salalah,Oman
Omnis Nam,X-Press Feeders,2010,10100,Singapore,110,Ningbo-Zhoushan,China,Ho Chi Minh City,Vietnam
Nisi Unde,CMA CGM,1994,1600,Tanzania,24,Ningbo-Zhoushan,China,Jebel Ali,United Arab Emirates
Quibusdam Neque,Hapag-Lloyd,2008,1600,French Southern Territories,62,Felixstowe,U.K.,Dalian,China
Nobis Dolorem,Zhonggu Logistics,1992,2400,Isle of Man,94,Singapore,Singapore,Los Angeles,U.S.A.
Totam Eos,Salam Pacific Indonesia Lines,1972,10400,Turkey,98,Dalian,China,Keihin Ports,Japan
Ea Nulla,Maersk,2006,2400,Croatia,120,Jebel Ali,United Arab Emirates,Nanjing,China
Rerum Quia,Mediterranean Shipping Company,2001,7700,Vietnam,64,Tokyo,Japan,Ningbo-Zhoushan,China
Amet Dolor,COSCO Shipping,1962,1500,French Southern Territories,55,Tanjung Priok,Indonesia,Savannah,U.S.A.
Nisi Minus,Hapag-Lloyd,1986,11800,Bangladesh,83,Antwerp,Belgium,Busan,South Korea
Officia Totam,Hapag-Lloyd,2010,7800,Bhutan,21,Port Klang,Malaysia,Tianjin,China
Nihil Ipsum,Regional Container Lines,1968,10500,Norfolk Island,100,Singapore,Singapore,Shenzhen,China
Aliquam Cumque,CMA CGM,1974,8800,Belarus,114,Shenzhen,China,Singapore,Singapore
Odio Voluptate,IRISL Group,1960,13700,Netherlands,75,Shanghai,China,Ho Chi Minh City,Vietnam
Ut Unde,Evergreen Marine,1995,9100,Croatia,23,Shenzhen,China,Keihin Ports,Japan
Libero Debitis,Maersk,1950,11700,Panama,91,Singapore,Singapore,Busan,South Korea
Eos Praesentium,Unifeeder,1989,11100,Ethiopia,64,Tianjin,China,Rotterdam,The Netherlands
Odio Dolore,Korea Marine Transport Company [de],1998,5700,Malaysia,111,Ningbo-Zhoushan,China,Bremen/Bremerhaven,Germany
Enim Quibusdam,Maersk,2014,10200,Niger,40,Shenzhen,China,Rotterdam,The Netherlands
Recusandae Eos,Zhonggu Logistics,1986,5100,Brazil,117,Hong Kong,China,Rotterdam,The Netherlands
Itaque Possimus,Hapag-Lloyd,1987,15800,Monaco,52,Bremen/Bremerhaven,Germany,Dalian,China
Vel Nobis,Yang Ming Marine Transport Corporation,1962,5200,"Virgin Islands, British",97,Shenzhen,China,Tanjung Priok,Indonesia
Dolor Doloribus,Maersk,1951,2400,Pakistan,102,Shenzhen,China,Tanjung Pelepas,Malaysia
Vero Repellat,Hapag-Lloyd,2010,3200,Uganda,94,Santos,Brazil,Busan,South Korea
Optio Et,Maersk,1999,6900,Norway,98,Felixstowe,U.K.,Singapore,Singapore
Soluta Culpa,Evergreen Marine,1989,10400,Russian Federation,88,Qingdao,China,Colombo,Sri Lanka
Sunt Harum,Hapag-Lloyd,1973,6100,Zimbabwe,100,Singapore,Singapore,Algeciras,Spain
Repudiandae Cumque,Hyundai Merchant Marine,2000,14600,Faroe Islands,74,Felixstowe,U.K.,Shanghai,China
Laboriosam Laboriosam,Mediterranean Shipping Company,2019,8500,Malta,79,Singapore,Singapore,Rotterdam,The Netherlands
Sapiente Fugit,Evergreen Marine,1963,7100,Palau,90,Tianjin,China,Manila,Philippines
Ipsa Voluptatum,Antong Holdings (QASC),2007,3400,Bangladesh,56,Dalian,China,Jebel Ali,United Arab Emirates
Labore Esse,Antong Holdings (QASC),1991,3200,Djibouti,26,Qingdao,China,Manila,Philippines
Aut Odit,Salam Pacific Indonesia Lines,2015,6000,Kenya,84,Jeddah,Saudi Arabia,Cai Mep,Vietnam
Rerum Iure,Yang Ming Marine Transport Corporation,2010,12600,Nigeria,54,Xiamen,China,Long Beach,U.S.A.
Enim Veniam,Korea Marine Transport Company [de],1953,2300,Timor-Leste,71,Rotterdam,The Netherlands,Busan,South Korea
Molestiae Quisquam,Wan Hai Lines,1987,14700,Mexico,40,Xiamen,China,Rotterdam,The Netherlands
Velit Minus,Wan Hai Lines,1981,13500,Palau,22,Shenzhen,China,Port Klang,Malaysia
Eligendi Eum,Mediterranean Shipping Company,1983,2600,Germany,78,Shanghai,China,Colombo,Sri Lanka
Neque Sapiente,Salam Pacific Indonesia Lines,1966,6200,Mayotte,99,Qingdao,China,Singapore,Singapore
Molestias Delectus,Mediterranean Shipping Company,1953,2400,Jersey,32,Singapore,Singapore,Guangzhou Harbor,China
Nesciunt Reiciendis,Mediterranean Shipping Company,2009,6800,Kyrgyz Republic,51,Singapore,Singapore,Los Angeles,U.S.A.
Aut Hic,CMA CGM,1979,3200,Russian Federation,108,Shenzhen,China,New York-New Jersey,U.S.A.
Odio Nihil,Korea Marine Transport Company [de],1952,6300,Guernsey,25,Busan,South Korea,Hamburg,Germany
Iusto Voluptatem,Salam Pacific Indonesia Lines,1968,14700,Saint Lucia,79,Bremen/Bremerhaven,Germany,Algeciras,Spain
Rerum Placeat,Shandong International Transportation Corporation,1952,5600,Brazil,50,Hanshin Port,Japan,Tianjin,China
Ullam Dolores,Mediterranean Shipping Company,1980,4700,Reunion,96,Xiamen,China,Piraeus,Greece
Esse Qui,CMA CGM,1981,3300,China,70,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Tanjung Priok,Indonesia
Amet Natus,CMA CGM,1975,4400,Mozambique,82,Ningbo-Zhoushan,China,Rotterdam,The Netherlands
Excepturi Mollitia,Sinotrans,1988,6000,Pakistan,90,Guangzhou Harbor,China,Kaohsiung,Taiwan
Culpa Natus,TS Lines,1993,3100,San Marino,118,Rotterdam,The Netherlands,Nanjing,China
Omnis Sint,Antong Holdings (QASC),1953,3600,Swaziland,64,Salalah,Oman,Singapore,Singapore
Qui Repellat,Mediterranean Shipping Company,2006,5800,New Caledonia,44,Xiamen,China,Savannah,U.S.A.
Aut Magnam,TS Lines,1954,1200,Bosnia and Herzegovina,76,Tianjin,China,Singapore,Singapore
Veritatis Iste,Pacific International Lines,2000,8000,Heard Island and McDonald Islands,112,Keihin Ports,Japan,Ningbo-Zhoushan,China
Sint Ex,Korea Marine Transport Company [de],1999,9400,Brunei Darussalam,21,Jeddah,Saudi Arabia,Shenzhen,China
Ipsum Quis,Maersk,1989,6500,Mayotte,76,Tokyo,Japan,Shenzhen,China
Quasi Praesentium,Shandong International Transportation Corporation,1971,14700,Mauritania,110,Tanjung Pelepas,Malaysia,Manila,Philippines
Repudiandae Iusto,Shandong International Transportation Corporation,1989,2800,Kazakhstan,91,Tanjung Priok,Indonesia,Busan,South Korea
Quaerat Delectus,Zhonggu Logistics,1994,1400,Estonia,46,Tokyo,Japan,Rotterdam,The Netherlands
Autem Impedit,Antong Holdings (QASC),2007,5000,Tonga,34,Los Angeles,U.S.A.,Rotterdam,The Netherlands
Debitis Amet,Evergreen Marine,1997,6900,Jersey,103,Ningbo-Zhoushan,China,Vancouver,Canada
Optio Doloribus,Zhonggu Logistics,1958,8800,Saint Kitts and Nevis,94,Ningbo-Zhoushan,China,Tanjung Pelepas,Malaysia
Totam Perspiciatis,Zhonggu Logistics,1951,17300,Paraguay,59,Hamburg,Germany,Shenzhen,China
Consequuntur Saepe,Ocean Network Express,1985,2400,Eritrea,48,Shanghai,China,Singapore,Singapore
Vel Quibusdam,COSCO Shipping,1991,4300,Kazakhstan,97,Qingdao,China,Singapore,Singapore
Amet Quo,Maersk,1954,4100,Mexico,89,Los Angeles,U.S.A.,Tokyo,Japan
Laborum Rerum,CMA CGM,1967,2600,United Kingdom,50,Jebel Ali,United Arab Emirates,Algeciras,Spain
Velit Voluptas,CMA CGM,1975,3300,Tanzania,20,Port Klang,Malaysia,Jebel Ali,United Arab Emirates
Aspernatur Autem,Mediterranean Shipping Company,1977,10900,New Caledonia,84,Laem Chabang,Thailand,Singapore,Singapore
